label,theta,phi,radius,x,y,z,offspheresurface
E01,0.0,90.0,1.0,0.0,0.0,1.0,0.0
E02,90.0,50.0,1.0,0.0,0.6428,0.766,0.0
E03,30.0,50.0,1.0,0.5567,0.3214,0.766,0.0
E04,-30.0,50.0,1.0,0.5567,-0.3214,0.766,0.0
E05,-90.0,50.0,1.0,0.0,-0.6428,0.766,0.0
E06,210.0,50.0,1.0,-0.5567,-0.3214,0.766,0.0
E07,150.0,50.0,1.0,-0.5567,0.3214,0.766,0.0
E08,90.0,10.0,1.0,0.0,0.9848,0.1736,-1e-16
E09,50.0,10.0,1.0,0.633,0.7544,0.1736,-1e-16
E10,10.0,10.0,1.0,0.9698,0.171,0.1736,-2e-16
E11,-30.0,10.0,1.0,0.8529,-0.4924,0.1736,0.0
E12,-70.0,10.0,1.0,0.3368,-0.9254,0.1736,-1e-16
E13,250.0,10.0,1.0,-0.3368,-0.9254,0.1736,-1e-16
E14,210.0,10.0,1.0,-0.8529,-0.4924,0.1736,0.0
E15,170.0,10.0,1.0,-0.9698,0.171,0.1736,-2e-16
E16,130.0,10.0,1.0,-0.633,0.7544,0.1736,-1e-16
E17,40.0,-30.0,1.0,0.6634,0.5567,-0.5,0.0
E18,-6.0,-30.0,1.0,0.8613,-0.0905,-0.5,0.0
E19,-48.0,-30.0,1.0,0.5795,-0.6436,-0.5,0.0
E20,-90.0,-30.0,1.0,0.0,-0.866,-0.5,0.0
E21,228.0,-30.0,1.0,-0.5795,-0.6436,-0.5,2e-16
E22,186.0,-30.0,1.0,-0.8613,-0.0905,-0.5,0.0
E23,140.0,-30.0,1.0,-0.6634,0.5567,-0.5,0.0
E24,10.0,-50.0,1.0,0.633,0.1116,-0.766,0.0
E25,-36.0,-50.0,1.0,0.52,-0.3778,-0.766,0.0
E26,-90.0,-50.0,1.0,0.0,-0.6428,-0.766,0.0
E27,216.0,-50.0,1.0,-0.52,-0.3778,-0.766,-1e-16
E28,170.0,-50.0,1.0,-0.633,0.1116,-0.766,0.0
E29,108.0,-40.0,1.0,-0.2367,0.7286,-0.6428,-1e-16
E30,72.0,-40.0,1.0,0.2367,0.7286,-0.6428,-1e-16
